"x"	"y"	"wt_elev"	"Y"	"X"	"xslope"	"yslope"	"elev"	"smag"	"dtw"
1	1	1258.00017772958	45	45	0.311111111111111	0	1258	0.311111111111111	-0.00017772958290152
2	1	1286.00017685727	45	135	0	0.0777777777777778	1286	0.0777777777777778	-0.000176857265614672
3	1	1280.00015650056	45	225	0	0.222222222222222	1280	0.222222222222222	-0.000156500561388384
4	1	1300.00018085469	45	315	0	0.188888888888889	1300	0.188888888888889	-0.000180854694008303
5	1	1282.00078757936	45	405	0	0.122222222222222	1282	0.122222222222222	-0.000787579357165669
6	1	1282.00023686347	45	495	0	0.488888888888889	1282	0.488888888888889	-0.000236863470036042
7	1	1322.00071759073	45	585	0	0.0444444444444444	1322	0.0444444444444444	-0.000717590728527284
8	1	1351.00352445414	45	675	0	1e-05	1351	1e-05	-0.0035244541368229
9	1	1386.00018994865	45	765	0	0.2	1386	0.2	-0.000189948646948324
10	1	1386.00110344635	45	855	0	0.255	1386	0.255	-0.00110344634776993
11	1	1419.00021650544	45	945	0	0.122222222222222	1419	0.122222222222222	-0.000216505442040216
12	1	1494.00016354442	45	1035	0	0.3	1494	0.3	-0.000163544422321138
13	1	1511.00015448434	45	1125	0	0.488777777777778	1511	0.488777777777778	-0.000154484343511285
14	1	1599.0001542609	45	1215	0	0.5	1599	0.5	-0.000154260898852954
15	1	1610.00014480541	45	1305	0	0.5	1610	0.5	-0.000144805405398074
16	1	1669.00012477927	45	1395	0	0.5	1669	0.5	-0.000124779274756293
17	1	1669.00007601553	45	1485	0	0.355555555555556	1669	0.355555555555556	-7.60155271564145e-05
18	1	1696.00011496078	45	1575	0	0.222222222222222	1696	0.222222222222222	-0.000114960784230789
19	1	1721.00007651781	45	1665	0	0.144444444444444	1721	0.144444444444444	-7.65178101573838e-05
20	1	1763.61795721157	45	1755	0	0.0666666666666667	1766	0.0666666666666667	2.38204278842568
21	1	1788.83789281018	45	1845	0	0.0111111111111111	1799	0.0111111111111111	10.1621071898171
22	1	1807.88104314876	45	1935	0	0.0444444444444444	1828	0.0444444444444444	20.1189568512377
23	1	1807.79394431552	45	2025	0	0.140011111111111	1828	0.140011111111111	20.2060556844817
24	1	1834.69907655828	45	2115	0	0.0888888888888889	1855	0.0888888888888889	20.3009234417204
25	1	1851.66585175154	45	2205	0	0.133333333333333	1872	0.133333333333333	20.334148248458
26	1	1857.67628718954	45	2295	0	0.277777777777778	1878	0.277777777777778	20.3237128104588
27	1	1895.57016152219	45	2385	0	1e-05	1916	1e-05	20.4298384778099
28	1	1906.66785112473	45	2475	0	0.122222222222222	1947	0.122222222222222	40.3321488752672
29	1	1938.58288363643	45	2565	0	1e-05	1979	1e-05	40.4171163635656
30	1	1927.67507521124	45	2655	0	0.277777777777778	1988	0.277777777777778	60.3249247887625
31	1	1951.6204815185	45	2745	0	0.411111111111111	2012	0.411111111111111	60.3795184814967
32	1	2010.68954887576	45	2835	0	0.5	2071	0.5	60.3104511242382
33	1	2028.6273867576	45	2925	0	0.222222222222222	2089	0.222222222222222	60.3726132423963
34	1	2045.79902122369	45	3015	0	0.5	2126	0.5	80.2009787763068
35	1	2041.59618503157	45	3105	0	0.122222222222222	2122	0.122222222222222	80.4038149684329
36	1	2053.69316031424	45	3195	0	0.177777777777778	2154	0.177777777777778	100.306839685764
37	1	2046.63500705182	45	3285	0	0.133333333333333	2147	0.133333333333333	100.364992948183
38	1	2060.59125513644	45	3375	0	0.1	2161	0.1	100.408744863564
39	1	2031.93722302901	45	3465	0	0.155555555555556	2182	0.155555555555556	150.062776970991
40	1	2059.72807667725	45	3555	0	0.155444444444442	2210	0.155444444444442	150.271923322751
41	1	2089.66082221251	45	3645	0	0.133333333333333	2240	0.133333333333333	150.33917778749
42	1	2102.61236847993	45	3735	0	0.0888888888888889	2253	0.0888888888888889	150.387631520071
43	1	2100.57339531699	45	3825	0	0.2	2251	0.2	150.426604683012
44	1	2113.59689299648	45	3915	0	0.0777777777777778	2264	0.0777777777777778	150.403107003521
45	1	2102.61774376706	45	4005	0	0.133333333333333	2253	0.133333333333333	150.382256232943
46	1	2131.5980008058	45	4095	0	0.333333333333333	2282	0.333333333333333	150.401999194204
47	1	2151.84782234595	45	4185	0	0.444444444444444	2352	0.444444444444444	200.152177654049
48	1	2143.69598305794	45	4275	0	1e-05	2344	1e-05	200.30401694206
49	1	2162.67230704318	45	4365	0	0.122222222222222	2363	0.122222222222222	200.327692956818
50	1	2184.6649527637	45	4455	0	0.144444444444444	2385	0.144444444444444	200.335047236297
51	1	2189.65237945646	45	4545	0	0.0222222222222222	2390	0.0222222222222222	200.347620543543
52	1	2178.70983140119	45	4635	0	0.222222222222222	2379	0.222222222222222	200.290168598807
53	1	2186.78744681487	45	4725	0	0.5	2387	0.5	200.212553185134
54	1	2219.72057046163	45	4815	0	0.0777777777777778	2420	0.0777777777777778	200.279429538369
55	1	2220.60064557872	45	4905	0	0.0111111111111111	2421	0.0111111111111111	200.399354421284
56	1	2229.6456728004	45	4995	0	0.2	2430	0.2	200.354327199605
57	1	2229.77556764299	45	5085	0	0.466555555555553	2430	0.466555555555553	200.22443235701
58	1	2255.66598526849	45	5175	0	0.133333333333333	2456	0.133333333333333	200.334014731506
59	1	2283.83994748915	45	5265	0	0.5	2484	0.5	200.160052510853
60	1	2284.70019290854	45	5355	0	0.188888888888889	2485	0.188888888888889	200.299807091458
61	1	2267.7480620935	45	5445	0	0.2	2468	0.2	200.251937906499
62	1	2249.65263900804	45	5535	0	1e-05	2450	1e-05	200.347360991958
63	1	2249.67825542805	45	5625	0	0.0333333333333333	2450	0.0333333333333333	200.321744571952
64	1	2264.73075985336	45	5715	0	0.155555555555556	2465	0.155555555555556	200.269240146637
65	1	2276.74208645069	45	5805	0	0.0444444444444444	2477	0.0444444444444444	200.257913549315
66	1	2277.86780066141	45	5895	0	0.0888888888888889	2478	0.0888888888888889	200.132199338592
67	1	2331.53598500155	45	5985	0	1e-05	2482	1e-05	150.46401499845
68	1	2340.59676470974	45	6075	0	0.133333333333333	2491	0.133333333333333	150.40323529026
69	1	2314.64045566547	45	6165	0	0.222222222222222	2465	0.222222222222222	150.359544334527
70	1	2314.66127040274	45	6255	0	0.4	2465	0.4	150.338729597259
71	1	2320.64426884374	45	6345	0	0.444444444444444	2471	0.444444444444444	150.355731156259
