"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70"
NA 14 17 17 20 20 21 21 21 21 21 21 17 17 17 17 17 17 17 19 20 20 21 21 21 21 14 14 14 15 15 16 18 18 18 19 19 20 20 21 21 21 21 21 21 21 21 21 20 20 19 19 19 19 19 19 19 19 19 19 19 19 NA NA NA NA NA NA NA NA
NA 14 17 17 20 20 22 22 22 22 22 22 17 17 17 17 17 17 17 19 20 20 22 22 22 22 22 14 14 15 15 16 18 18 18 19 19 20 20 22 22 21 22 22 22 21 21 21 21 21 21 19 19 19 19 19 19 19 19 19 19 19 NA NA NA NA NA NA NA NA
23 23 23 17 20 20 22 22 22 22 22 22 22 17 17 17 17 17 17 23 23 23 23 23 23 23 22 14 14 15 15 16 18 18 18 19 19 20 20 23 22 21 23 22 22 22 22 22 22 22 22 19 19 19 19 19 19 19 19 19 19 19 NA NA NA NA NA NA NA NA
NA 24 24 20 20 20 22 22 22 22 22 22 22 17 17 17 17 17 23 23 24 24 23 23 23 23 23 23 15 15 15 16 18 18 18 19 19 20 20 24 22 21 24 22 22 22 22 22 22 22 22 19 29 29 29 29 29 29 29 29 29 29 29 NA NA NA NA NA NA NA
NA 24 25 25 20 20 22 22 22 22 22 22 22 17 17 17 17 25 25 25 25 25 23 23 23 23 23 23 23 15 15 16 18 18 18 19 19 20 20 25 22 21 25 22 22 22 22 22 22 22 22 30 29 29 29 29 29 29 29 29 29 29 29 NA NA NA NA NA NA NA
NA NA 26 20 20 20 22 22 22 22 22 22 22 22 22 17 25 25 25 25 25 26 26 23 23 23 23 23 23 23 15 16 18 18 18 19 20 20 20 26 22 26 26 22 22 22 22 22 22 22 29 30 29 29 29 29 29 29 29 29 29 29 29 NA NA NA NA NA NA NA
NA NA 27 27 20 20 22 22 22 22 22 22 22 22 22 22 25 25 25 25 25 27 27 27 29 29 23 29 29 29 15 16 16 18 18 19 20 20 27 27 27 26 27 22 22 22 22 22 29 29 29 30 30 29 29 29 29 29 29 29 29 29 29 NA NA NA NA NA NA NA
NA 28 28 28 20 20 22 22 22 22 22 22 22 22 22 25 25 25 25 25 25 28 28 29 29 29 29 29 29 29 29 16 16 18 18 19 27 27 27 27 28 26 28 28 28 22 29 29 29 29 29 30 30 29 29 29 29 29 29 29 29 29 NA NA NA NA NA NA NA NA
NA 28 28 29 29 20 20 22 22 22 22 22 22 22 22 22 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 18 18 18 27 27 27 27 27 29 26 28 29 29 29 29 29 29 29 29 30 29 29 29 29 29 29 29 29 29 29 29 NA NA NA NA NA NA NA
NA 29 29 29 29 20 20 22 22 22 22 22 22 22 22 32 32 32 32 30 30 30 29 29 29 29 30 30 30 30 29 29 18 18 18 27 27 27 27 27 30 26 29 29 29 29 29 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 30 NA NA NA NA NA NA NA
NA 29 29 29 29 29 20 20 20 22 22 22 22 22 32 32 32 32 32 31 31 31 31 29 29 29 30 31 31 31 31 31 31 18 27 27 27 27 27 27 31 31 31 29 29 29 29 31 30 30 30 31 31 31 31 31 31 31 31 30 30 30 30 NA NA NA NA NA NA NA
NA 29 29 29 29 29 20 20 20 22 22 22 22 22 32 32 32 32 32 32 32 31 31 29 29 29 30 31 32 32 32 32 32 32 35 27 27 27 27 27 32 31 31 29 29 29 29 32 32 32 31 31 32 32 32 31 31 31 31 31 33 30 33 NA NA NA NA NA NA NA
NA 29 29 29 29 29 20 20 20 20 22 22 22 35 35 35 33 33 33 32 33 33 33 29 29 29 30 31 33 33 33 34 34 35 35 35 27 27 27 27 33 33 33 29 29 29 29 32 33 33 31 31 33 33 33 33 33 33 33 33 33 33 33 NA NA NA NA NA NA NA
NA 29 29 29 29 29 20 20 20 20 22 22 35 35 35 35 34 34 34 32 34 34 34 34 34 34 34 31 33 34 34 34 34 35 35 35 35 27 27 27 27 34 34 34 34 34 29 34 34 34 31 31 33 33 33 33 33 33 33 33 33 33 33 NA NA NA NA NA NA NA
NA 29 29 29 29 29 20 20 20 20 20 35 35 35 35 35 35 35 35 35 34 34 34 34 34 34 34 34 34 34 34 35 35 35 35 35 35 35 35 27 27 34 34 35 35 34 34 35 34 34 31 31 31 31 33 33 33 33 33 33 33 33 33 NA NA NA NA NA NA NA
NA 29 29 29 29 29 20 20 20 20 20 38 38 36 36 36 36 36 35 35 34 34 34 34 34 34 34 34 34 34 34 35 36 35 35 35 35 35 35 35 35 34 34 36 36 36 36 36 34 34 31 31 31 31 31 33 33 33 33 33 33 33 33 NA NA NA NA NA NA NA
NA 29 29 29 29 29 20 20 20 20 38 38 38 38 38 37 37 37 37 37 34 34 34 34 34 34 34 34 34 37 37 37 37 37 37 37 37 38 35 35 35 35 34 36 36 36 36 37 37 37 31 31 31 31 31 33 33 33 33 33 33 33 33 33 NA NA NA NA NA NA
NA 29 29 29 29 29 20 20 20 20 38 38 38 38 38 38 38 37 37 37 37 34 34 34 34 34 34 34 34 37 37 37 37 38 37 38 38 38 38 38 39 39 34 36 36 36 36 36 38 38 38 31 31 31 31 33 33 33 33 33 33 33 33 33 33 NA NA NA NA NA
NA 29 29 29 29 29 20 20 20 41 41 41 40 40 39 39 39 39 39 39 39 39 34 34 34 34 34 34 34 37 37 37 37 39 37 38 38 39 39 39 39 39 34 36 36 36 36 36 38 38 39 39 39 39 39 39 39 39 39 33 33 33 33 33 NA NA NA NA NA NA
NA 29 29 29 29 29 20 20 20 41 41 41 40 40 40 40 39 40 40 40 40 40 40 34 34 34 34 34 34 37 37 37 40 40 37 38 38 40 39 40 40 40 41 41 41 36 36 36 38 38 39 39 39 39 39 39 39 39 39 39 39 33 33 33 NA NA NA NA NA NA
NA 29 29 29 29 29 29 41 41 41 41 41 41 41 41 39 39 40 40 40 40 40 40 40 40 40 34 34 34 37 41 41 41 40 40 38 41 41 39 41 41 41 41 41 41 36 36 36 36 36 39 39 39 39 39 39 39 39 39 39 39 39 33 33 NA NA NA NA NA NA
NA 29 29 29 29 29 29 43 43 43 43 42 42 42 41 39 39 40 40 40 40 40 40 40 40 40 34 34 34 37 42 42 41 40 40 41 41 41 41 41 41 42 42 42 42 42 42 36 36 36 36 39 39 39 39 39 39 39 39 39 39 39 33 33 NA NA NA NA NA NA
NA 29 29 29 29 29 29 43 43 43 43 43 43 43 43 43 40 40 40 40 40 40 40 40 40 40 34 34 34 43 43 43 41 40 40 40 41 41 41 41 41 42 42 42 42 43 43 43 36 36 36 36 39 39 39 39 39 39 39 39 39 39 33 NA NA NA NA NA NA NA
NA NA 29 29 29 29 44 44 44 44 44 44 44 44 44 44 40 40 40 40 40 40 40 40 40 40 34 34 34 44 44 44 41 40 40 40 41 41 41 41 41 41 42 42 42 44 44 43 36 36 36 36 36 39 39 39 39 39 39 39 39 39 39 NA NA NA NA NA NA NA
NA NA 29 29 29 49 47 47 45 45 45 45 45 44 44 45 45 40 40 40 40 40 40 40 40 40 34 45 45 45 45 45 41 40 40 40 41 41 41 41 41 41 45 45 45 45 45 45 45 45 36 36 36 39 39 39 39 39 39 39 39 39 39 NA NA NA NA NA NA NA
NA NA 29 29 49 49 47 47 47 47 46 46 46 44 44 46 46 46 40 40 40 40 40 40 40 40 47 47 47 46 46 45 41 40 40 40 41 41 41 41 41 46 46 46 46 45 46 46 46 46 36 36 36 36 36 36 36 36 36 39 39 39 39 NA NA NA NA NA NA NA
NA 29 29 29 49 49 47 47 47 47 47 47 47 47 44 46 47 47 47 40 40 40 40 40 40 40 47 47 47 47 47 45 41 40 41 41 41 41 41 41 41 47 47 47 46 45 47 47 46 46 36 36 36 36 36 36 36 36 36 36 36 36 NA NA NA NA NA NA NA NA
NA 29 29 49 49 49 49 49 48 48 48 48 47 47 44 46 48 48 47 47 40 40 40 40 40 40 47 47 47 48 47 45 41 40 41 41 41 41 41 41 41 48 48 48 46 46 47 48 48 48 48 48 36 36 36 36 36 36 36 36 36 36 NA NA NA NA NA NA NA NA
NA 29 49 49 49 49 49 49 49 49 49 49 49 49 44 49 49 49 47 47 47 47 40 40 40 40 49 49 49 49 49 45 41 40 41 41 41 41 41 41 49 49 49 49 46 46 47 48 49 49 49 49 49 49 49 49 49 49 49 49 49 49 NA NA NA NA NA NA NA NA
NA 29 49 49 49 49 49 49 49 49 49 50 49 49 44 49 49 49 49 49 49 49 49 49 40 50 50 50 50 49 49 49 41 40 41 41 41 41 41 41 50 50 50 49 49 46 48 48 49 49 49 50 50 49 49 49 49 49 49 49 49 49 NA NA NA NA NA NA NA NA
NA 29 49 49 49 49 49 49 49 49 51 51 51 51 51 49 49 49 49 49 49 49 49 49 49 50 50 50 50 49 49 49 41 40 41 41 41 41 41 52 51 51 51 51 49 48 48 48 49 49 49 51 51 49 49 49 49 49 49 49 49 NA NA NA NA NA NA NA NA NA
NA NA 49 49 49 49 49 52 52 52 52 52 52 52 52 52 52 49 49 49 49 49 49 49 49 50 50 50 50 49 49 49 41 40 41 41 52 52 52 52 52 52 51 51 49 48 48 48 49 49 49 52 52 52 52 49 49 49 49 49 49 NA NA NA NA NA NA NA NA NA
NA NA 54 54 54 54 54 54 54 54 53 53 53 53 53 53 53 53 53 53 49 49 49 49 49 50 50 50 50 50 50 50 41 40 52 52 52 52 52 53 52 52 51 49 49 48 48 48 49 49 49 52 53 53 53 53 53 53 53 49 49 NA NA NA NA NA NA NA NA NA
NA NA 55 54 54 54 54 54 54 54 54 54 53 53 53 53 53 53 53 53 49 49 49 49 49 49 50 50 50 50 50 50 50 56 56 52 52 54 54 54 52 52 52 52 49 49 48 48 49 49 49 52 53 53 53 53 53 53 53 53 NA NA NA NA NA NA NA NA NA NA
NA 55 55 55 55 55 55 55 55 55 54 54 53 53 53 53 53 53 53 53 49 49 49 49 49 49 50 50 50 50 50 50 50 56 56 56 56 55 55 55 52 52 52 52 49 49 48 48 49 49 49 52 53 53 53 53 53 53 53 53 55 55 55 55 55 55 55 55 55 55
