"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70"
NA 8 5 4 1 2 0 1 2 3 4 5 10 9 8 7 6 5 4 2 1 1 0 1 2 3 10 9 8 7 6 6 5 4 3 2 2 1 1 0 0 0 0 0 0 0 1 2 3 4 2 3 4 5 6 7 8 9 10 11 12 13 NA NA NA NA NA NA NA NA
NA 9 6 5 2 3 0 1 2 3 4 5 11 10 9 8 7 6 5 3 2 2 0 1 2 3 4 10 9 8 7 7 6 5 4 3 3 2 2 0 1 1 0 1 2 1 2 3 4 5 6 4 5 6 7 8 9 10 11 12 13 14 NA NA NA NA NA NA NA NA
0 0 1 6 3 4 1 2 3 4 5 6 7 11 10 9 8 7 6 2 1 0 0 1 2 3 5 11 10 9 8 8 7 6 5 4 4 3 3 0 2 2 0 2 3 4 5 6 7 8 9 5 6 9 8 9 10 11 12 13 14 15 NA NA NA NA NA NA NA NA
NA 0 0 5 4 5 2 3 4 5 6 7 8 12 11 10 9 8 4 3 1 0 1 2 3 4 5 6 11 10 9 9 8 7 6 5 5 4 4 0 3 3 0 3 4 5 6 7 8 13 14 6 8 7 6 7 8 9 10 11 12 13 14 NA NA NA NA NA NA NA
NA 1 0 1 5 6 3 4 5 6 7 8 9 13 12 11 10 4 3 2 1 0 2 3 4 5 6 7 8 11 10 10 9 8 7 6 6 5 5 0 4 4 0 4 5 6 7 8 11 12 13 5 7 6 5 6 7 10 11 12 13 14 15 NA NA NA NA NA NA NA
NA NA 0 7 6 7 4 5 6 7 8 9 10 11 12 12 6 5 4 3 2 0 1 4 5 6 7 8 9 10 11 11 10 9 8 7 7 6 6 0 5 1 0 5 6 7 8 9 10 11 6 4 4 3 4 5 6 7 12 13 14 15 16 NA NA NA NA NA NA NA
NA NA 0 1 7 8 5 6 7 8 9 10 11 12 13 14 7 6 5 4 3 0 1 2 2 2 8 3 4 5 12 12 13 10 9 8 8 7 1 0 0 2 0 6 7 8 9 10 3 4 5 3 4 2 3 4 7 8 13 14 15 16 17 NA NA NA NA NA NA NA
NA 1 0 0 8 9 6 7 8 9 10 11 12 13 14 9 8 7 6 5 4 0 1 1 1 1 2 2 3 4 5 13 14 11 10 9 4 3 2 1 0 3 0 0 1 9 1 2 2 3 4 2 3 1 2 3 4 5 14 7 8 9 NA NA NA NA NA NA NA NA
NA 2 1 0 1 10 11 8 9 10 11 12 13 14 15 16 5 4 3 2 1 0 0 0 0 0 0 1 2 3 4 5 13 12 13 6 5 4 3 2 0 4 1 0 0 0 0 0 1 2 3 1 0 0 1 2 3 4 5 6 7 8 9 NA NA NA NA NA NA NA
NA 3 2 1 2 11 12 9 10 11 12 13 14 15 16 5 4 3 2 2 1 0 1 1 1 1 0 0 1 2 5 6 14 13 14 7 6 5 4 3 0 5 2 1 1 1 1 0 0 0 0 0 0 1 2 3 4 5 6 7 8 9 10 NA NA NA NA NA NA NA
NA 4 3 2 3 4 13 14 15 12 13 14 15 16 5 4 3 2 1 1 0 0 1 2 2 2 1 0 0 1 2 3 4 14 9 8 7 6 5 4 0 1 2 2 2 2 3 0 1 1 1 0 0 1 2 3 4 5 6 8 9 10 11 NA NA NA NA NA NA NA
NA 5 4 3 4 5 14 15 16 13 14 15 16 17 4 3 2 1 0 0 0 1 2 3 3 3 2 1 0 1 2 3 4 5 5 9 8 7 6 5 0 2 3 4 3 3 4 0 0 1 2 1 0 1 2 4 5 6 7 8 8 11 10 NA NA NA NA NA NA NA
NA 6 5 4 5 6 15 16 17 18 15 16 17 6 5 4 2 1 0 1 0 1 2 4 5 4 3 2 0 0 1 1 2 3 4 5 9 8 7 6 0 0 1 5 4 5 5 1 0 1 3 2 0 0 0 0 1 2 3 4 7 8 9 NA NA NA NA NA NA NA
NA 7 6 5 6 7 16 17 18 19 16 17 6 5 4 3 2 1 0 2 0 1 2 3 4 5 8 3 1 0 0 0 1 2 3 4 7 9 8 7 8 0 0 0 1 2 6 0 0 1 4 3 1 2 1 2 2 3 4 5 6 7 8 NA NA NA NA NA NA NA
NA 8 7 6 7 8 17 18 19 20 21 6 5 4 3 2 1 0 0 1 1 2 3 4 5 6 7 8 9 1 1 0 0 1 2 3 6 7 8 8 9 1 1 0 1 3 4 0 1 2 5 4 5 6 2 3 3 4 5 6 7 8 9 NA NA NA NA NA NA NA
NA 9 8 7 8 9 18 19 20 21 22 7 6 4 3 2 1 0 1 2 2 3 4 5 6 7 8 9 10 2 2 1 0 2 3 4 5 6 7 8 9 2 2 0 0 0 1 0 2 3 6 5 6 7 8 4 4 5 6 7 8 9 10 NA NA NA NA NA NA NA
NA 10 9 8 9 10 19 20 21 22 7 6 5 4 3 1 0 0 1 2 3 4 5 6 7 8 9 10 11 3 2 1 0 0 0 0 1 1 8 9 10 11 3 1 1 1 2 0 0 1 7 6 7 8 9 5 5 6 7 8 9 10 11 12 NA NA NA NA NA NA
NA 11 10 9 10 11 22 21 22 23 6 5 4 3 2 1 0 1 2 3 4 5 6 7 8 9 10 11 12 4 3 2 1 0 1 0 0 0 1 2 2 3 4 2 3 2 3 4 0 0 0 7 8 9 10 6 7 7 8 9 10 11 12 13 14 NA NA NA NA NA
NA 12 11 10 11 12 23 22 23 6 5 4 3 2 1 0 0 0 1 2 3 4 7 8 9 10 11 12 13 5 4 3 2 0 2 1 1 0 0 0 1 2 5 3 4 3 4 5 1 2 0 0 0 1 2 3 4 5 6 10 11 12 13 14 NA NA NA NA NA NA
NA 13 12 11 12 13 24 25 24 5 4 3 2 1 0 0 1 0 1 2 3 4 5 9 10 11 12 13 14 6 5 4 0 0 3 2 2 0 1 0 1 2 2 3 4 4 5 6 2 3 1 1 1 2 3 4 5 6 7 8 9 13 14 15 NA NA NA NA NA NA
