"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70"
NA 3 4 4 5 5 7 7 7 7 7 7 19 19 19 19 19 19 19 20 21 22 23 23 23 23 30 30 30 31 31 33 35 35 35 36 37 38 39 40 41 42 43 44 45 46 46 46 47 47 51 51 51 51 51 51 51 51 51 51 51 51 NA NA NA NA NA NA NA NA
NA 3 4 4 5 5 7 7 7 7 7 7 19 19 19 19 19 19 19 20 21 22 23 23 23 23 23 30 30 31 31 33 35 35 35 36 37 38 39 40 40 42 43 43 43 46 46 46 46 46 46 51 51 51 51 51 51 51 51 51 51 51 NA NA NA NA NA NA NA NA
1 2 2 4 5 5 7 7 7 7 7 7 7 19 19 19 19 19 19 22 22 22 23 23 23 23 23 30 30 31 31 33 35 35 35 36 37 38 39 40 40 42 43 43 43 43 43 43 43 43 43 51 51 51 51 51 51 51 51 51 51 51 NA NA NA NA NA NA NA NA
NA 2 3 5 5 5 7 7 7 7 7 7 7 19 19 19 19 19 22 22 22 22 23 23 23 23 23 23 31 31 31 33 35 35 35 36 37 38 39 40 40 42 43 43 43 43 43 43 43 43 43 51 54 54 54 54 54 54 54 54 54 54 54 NA NA NA NA NA NA NA
NA 2 3 3 5 5 7 7 7 7 7 7 7 19 19 19 19 22 22 22 22 22 23 23 23 23 23 23 23 31 31 33 35 35 35 36 37 38 39 40 40 42 43 43 43 43 43 43 43 43 43 52 54 54 54 54 54 54 54 54 54 54 54 NA NA NA NA NA NA NA
NA NA 3 5 5 5 7 7 7 7 7 7 7 7 7 19 22 22 22 22 22 22 22 23 23 23 23 23 23 23 31 33 35 35 35 36 38 38 39 40 40 43 43 43 43 43 43 43 43 43 48 52 54 54 54 54 54 54 54 54 54 54 54 NA NA NA NA NA NA NA
NA NA 3 3 5 5 7 7 7 7 7 7 7 7 7 7 22 22 22 22 22 22 22 22 25 26 23 27 27 27 31 33 33 35 35 36 38 38 40 40 41 43 43 43 43 43 43 43 48 48 48 52 52 54 54 54 54 54 54 54 54 54 54 NA NA NA NA NA NA NA
NA 3 3 4 5 5 7 7 7 7 7 7 7 7 7 22 22 22 22 22 22 22 22 24 25 26 26 27 27 27 27 33 33 35 35 36 40 40 40 40 41 43 43 44 44 43 47 47 48 48 48 52 52 54 54 54 54 54 54 54 54 54 NA NA NA NA NA NA NA NA
NA 3 3 4 4 5 5 7 7 7 7 7 7 7 7 7 22 22 22 22 22 22 23 24 25 26 27 27 27 27 27 27 35 35 35 40 40 40 40 40 41 43 43 44 45 46 47 48 48 48 48 52 53 54 54 54 54 54 54 54 54 54 54 NA NA NA NA NA NA NA
NA 4 4 4 4 5 5 7 7 7 7 7 7 7 7 19 19 19 19 22 22 22 23 24 25 26 27 28 28 28 27 27 35 35 35 40 40 40 40 40 41 43 44 44 45 46 47 48 49 50 51 52 53 53 53 53 53 53 53 53 53 53 53 NA NA NA NA NA NA NA
NA 4 4 4 4 4 5 5 5 7 7 7 7 7 19 19 19 19 19 21 21 22 22 24 25 26 27 28 29 29 29 29 29 35 40 40 40 40 40 40 41 41 41 44 45 46 46 48 49 50 51 52 53 53 53 53 53 53 53 53 53 53 53 NA NA NA NA NA NA NA
NA 4 4 4 4 4 5 5 5 7 7 7 7 7 19 19 19 19 19 20 21 22 22 24 25 26 27 28 29 29 29 29 29 29 33 40 40 40 40 40 41 41 41 45 45 46 46 48 49 49 52 52 53 53 53 53 53 53 53 53 56 53 56 NA NA NA NA NA NA NA
NA 4 4 4 4 4 5 5 5 5 7 7 7 18 18 18 19 19 19 20 21 21 21 24 24 26 27 28 29 30 30 32 32 33 33 33 40 40 40 40 41 42 42 45 45 45 46 48 49 49 52 52 53 54 55 56 56 56 56 56 56 56 56 NA NA NA NA NA NA NA
NA 4 4 4 4 4 5 5 5 5 7 7 18 18 18 18 19 19 19 20 21 21 21 21 21 21 21 28 29 30 31 32 32 33 33 33 33 40 40 40 40 42 43 44 44 44 46 48 49 49 52 52 53 53 55 55 56 56 56 56 56 56 56 NA NA NA NA NA NA NA
NA 4 4 4 4 4 5 5 5 5 5 18 18 18 18 18 18 18 19 19 21 21 21 21 21 21 21 21 21 30 31 32 33 33 33 33 33 33 33 40 40 42 43 44 44 44 44 48 49 49 52 52 52 52 55 55 56 56 56 56 56 56 56 NA NA NA NA NA NA NA
